koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
164624,Ziga,Jelar,54,17,,0,SLO,2019,M
182815,Keiichi,Sato,56,13,,0,JPN,2019,M
181027,Artti,Aigro,57,12,,0,EST,2019,M
72563,Severin,Freund,57,12,,0,GER,2019,M
99976,Pius,Paschke,59,10,,0,GER,2019,M
75837,Jurij,Tepes,59,10,35,10,SLO,2019,M
171479,Tilen,Bartol,61,9,40,7,SLO,2019,M
108867,Cestmir,Kozisek,61,9,46,3,CZE,2019,M
73277,Taku,Takeuchi,61,9,,0,JPN,2019,M
179422,Bor,Pavlovcic,64,8,50,2,SLO,2019,M
175089,Alex,Insam,65,7,,0,ITA,2019,M
135583,Roman,Trofimov,66,5,,0,RUS,2019,M
124118,Gregor,Deschwanden,67,4,,0,SUI,2019,M
203375,Thomas Aasen,Markeng,67,4,,0,NOR,2019,M
196315,Eetu,Nousiainen,67,4,44,4,FIN,2019,M
182407,Pawel,Wasek,67,4,,0,POL,2019,M
180727,Tomas,Vancura,71,3,46,3,CZE,2019,M
128448,Ulrich,Wohlgenannt,71,3,46,3,AUT,2019,M
180887,Andreas,Alamommo,73,2,,0,FIN,2019,M
189318,Moritz,Baer,73,2,,0,GER,2019,M
136813,Jarkko,Maatta,73,2,,0,FIN,2019,M
128788,Markus,Schiffner,73,2,,0,AUT,2019,M
